inventory_id,product_id,warehouse_id,stock_quantity,reserved_quantity,available_quantity,reorder_level,inventory_status,last_updated,_dq_issue
INV005963,P000021,W008,468,347,121,39,In Stock,2026-05-14 22:25:49,
INV008678,P004140,W008,143,94,49,17,In Stock,2025-12-06 22:36:52,
INV002243,P007979,W002,95,74,21,62,Low Stock,2026-03-11 16:56:28,
INV000637,P009748,W004,183,32,151,95,In Stock,2025-03-19 16:58:30,
INV019379,P006942,W010,403,349,54,62,Low Stock,2025-12-07 19:18:07,
INV006402,P004033,W007,229,197,32,12,In Stock,2025-11-16 04:57:04,
INV007694,P004478,W010,69,44,25,42,Low Stock,2026-02-16 08:46:58,
INV010801,P001203,W007,373,310,63,45,In Stock,2025-03-20 10:38:41,
INV011955,P007470,W010,467,256,211,39,Overstocked,2025-09-18 14:33:20,
INV009197,P002757,W001,26,17,9,23,Low Stock,2025-06-22 11:53:59,
INV010625,P005915,W001,231,113,118,37,In Stock,2025-03-09 13:22:36,
INV007984,P002231,W002,399,179,220,17,Overstocked,2025-09-22 10:17:29,
INV017070,P003541,W001,450,433,17,23,Low Stock,2025-12-29 16:39:57,
INV005246,P009722,W002,-50,16,62,87,Low Stock,2026-02-15 16:31:06,invalid_stock_quantity
INV001314,P006263,W003,307,227,80,52,In Stock,2025-08-05 00:39:09,
INV002416,P001168,W005,442,337,105,76,In Stock,2025-11-10 13:47:17,
INV013716,P000185,W006,306,106,200,96,In Stock,2025-07-27 23:13:52,
INV011898,P004242,W003,383,0,383,76,In Stock,2026-02-12 00:16:49,
INV013116,P001416,W001,432,117,315,54,In Stock,2025-12-20 11:58:13,
INV018554,P001547,W010,200,193,7,100,Low Stock,2025-11-30 15:47:13,
INV000893,P005756,W001,314,27,287,53,In Stock,2025-12-31 04:20:53,
INV009902,P001829,W010,488,382,106,92,In Stock,2026-06-09 22:26:26,
INV000644,P004776,W004,208,196,12,85,Low Stock,2025-01-29 11:19:23,
INV008963,P008310,W006,462,172,290,83,In Stock,2025-07-03 19:02:32,
INV016764,P005319,W007,423,346,77,76,In Stock,2025-01-09 06:20:39,
INV012410,P009819,W006,408,56,352,86,In Stock,2026-05-13 11:23:49,
INV010442,P005490,W006,398,355,43,32,In Stock,2025-01-11 01:37:09,
INV009240,P007508,W008,153,67,86,72,In Stock,2026-07-27 11:25:48,
INV010111,P000662,W009,-5,68,67,53,In Stock,2026-04-25 17:08:24,invalid_stock_quantity
INV001871,P008295,W006,477,285,192,11,Overstocked,2025-09-27 00:44:09,
INV002753,P008151,W003,210,202,8,43,Low Stock,2026-05-12 00:15:21,
INV009701,P000964,W002,468,76,392,44,Overstocked,2025-02-24 12:22:55,
INV004369,P006293,W005,315,219,96,69,In Stock,2025-03-26 19:24:59,
INV009660,P004103,W008,75,66,9,56,Low Stock,2026-04-21 07:47:53,
INV014682,P004411,W002,292,17,275,46,Overstocked,2026-06-14 21:40:11,
INV000744,P004862,W001,325,222,103,51,In Stock,2025-05-10 23:49:23,
INV009119,P006752,W009,453,242,211,44,In Stock,2025-09-07 23:45:58,
INV009669,P009397,W010,417,325,92,91,In Stock,2025-10-02 08:09:39,
INV011510,P006365,W002,464,231,233,71,In Stock,2026-03-28 21:57:57,
INV004669,P007914,W010,60,47,13,41,Low Stock,2026-04-15 08:55:48,
INV016180,P004127,W010,134,43,91,73,In Stock,2025-04-22 12:19:00,
INV010627,P009865,W007,474,234,240,19,In Stock,2025-04-21 03:16:53,
INV003391,P008661,W006,236,79,157,85,In Stock,2025-08-04 19:35:46,
INV014576,P005085,W002,236,34,202,68,In Stock,2025-04-24 23:31:45,
INV006621,P005877,W005,324,64,260,50,In Stock,2025-04-27 06:24:18,
INV010435,P000223,W006,328,48,280,15,Overstocked,2025-03-19 07:55:44,
INV019659,P004105,W007,400,387,13,27,Low Stock,2026-04-30 13:15:52,
INV014575,P004745,W001,66,11,55,13,In Stock,2026-07-29 01:12:19,
INV013697,P004506,W003,96,49,47,51,Low Stock,2026-07-26 02:31:32,
INV018849,P009409,W010,436,283,153,36,In Stock,2025-04-11 07:39:50,
INV005087,P007315,W009,93,87,6,92,Low Stock,2025-04-09 16:33:11,
INV013560,P000238,W009,80,65,15,54,Low Stock,2025-02-12 09:30:06,
INV009133,P005963,W004,0,0,0,30,Out of Stock,2025-04-25 21:24:30,
INV004371,P000542,W008,129,8,121,82,In Stock,2026-05-17 02:53:42,
INV013742,P006411,W009,383,179,204,16,In Stock,2026-07-28 11:20:49,
INV017917,P003825,W007,230,196,34,19,In Stock,2026-07-22 07:01:21,
INV002683,P006889,W005,283,34,249,82,In Stock,2026-03-22 23:16:59,
INV003576,P008834,W001,295,95,200,60,In Stock,2025-02-08 11:28:25,
INV006205,P002461,W003,491,371,120,66,In Stock,2025-08-04 21:33:52,
INV015045,P009804,W009,66,14,52,11,In Stock,2025-12-21 04:34:55,
INV018531,P008161,W009,401,330,71,26,In Stock,2025-07-26 20:29:53,
INV015138,P001967,W003,203,100,103,40,In Stock,2025-08-04 22:03:56,
INV007029,P009001,W001,148,53,95,84,In Stock,2026-05-07 12:00:47,
INV018368,P009010,W002,12,6,6,42,Low Stock,2026-06-10 15:34:08,
INV002160,P001733,W002,462,456,6,44,Low Stock,2025-12-16 03:00:22,
INV014737,P006918,W002,189,187,2,52,Low Stock,2025-04-16 14:15:58,
INV011369,P007162,W006,85,23,62,40,In Stock,2025-06-14 14:03:27,
INV009397,P007552,W002,491,334,157,74,In Stock,2025-09-19 15:57:22,
INV013006,P001810,W010,454,442,12,48,Low Stock,2025-10-21 02:25:28,
INV000357,P006040,W007,408,203,205,20,In Stock,2025-12-23 12:20:17,
INV018713,P004548,W009,110,35,75,32,In Stock,2026-01-21 23:56:55,
