seller_id,seller_name,email,phone,city,state,country,seller_rating,seller_status,joined_date,_dq_issue
S00198,Murthy Grocery Collection,murthygrocerycollect93@gmail.com,6393087059,Hyderabad,Telangana,India,2.6,Active,2020-12-27,
S00189,Sports & Fitness Co. - Pai,sportsfitnesscopai326@gmail.com,9431329121,Coimbatore,Tamil Nadu,India,2.5,Active,2023-07-24,
S00761,Fashion Hub - Bansal,fashionhubbansal782@gmail.com,9216966630,Bengaluru,Karnataka,India,3.8,Active,2025-12-14,
S00076,Kakar Ventures,kakarventures827@gmail.com,9899809402,Bengaluru,Karnataka,India,2.9,Active,2022-10-23,
S00913,Mobiles & Accessories Exports - Bala,mobilesaccessoriesex188@gmail.com,9536749785,Delhi,Delhi,India,2.4,Active,2021-10-31,
S00813,Chahal Furniture House,chahalfurniturehouse617@gmail.com,6919113599,Kolkata,West Bengal,India,3.3,Active,2019-06-13,
S00637,Nath Hub,nathhub106@gmail.com,8919665533,Delhi,Delhi,India,1.8,Active,2019-07-11,
S00717,Tristan Kitchenware Enterprises,tristankitchenwareen230@gmail.com,6637579145,Jaipur,Rajasthan,India,2.4,Active,2019-12-09,
S00324,Pandey Store,pandeystore350@gmail.com,9216893639,Nagpur,Maharashtra,India,2.4,Inactive,2025-10-15,
S00368,Lalla Co.,lallaco752@gmail.com,7852580010,Bengaluru,Karnataka,India,3.3,Active,2024-01-01,
S00833,Yadavi Furniture House,yadavifurniturehouse446@gmail.com,9170715879,Delhi,Delhi,India,3.2,Active,2022-03-22,
S00498,Gautam Sports & Fitness Enterprises,gautamsportsfitnesse239@gmail.com,6767699150,Indore,Madhya Pradesh,India,3.4,Active,2021-02-27,
S00117,Dubey Beauty Collection,dubeybeautycollectio378@gmail.com,8169409749,Surat,Gujarat,India,3.7,Active,2025-07-18,
S00863,Cherian Grocery Enterprises,cheriangroceryenterp65@gmail.com,9509617015,Delhi,Delhi,India,3.7,Inactive,2023-01-20,
S00288,Kibe Kitchenware Retail Pvt Ltd,kibekitchenwareretai221@gmail.com,8717545588,Bengaluru,Karnataka,India,4.5,Active,2019-03-23,
S00856,Sarraf Footwear Hub,sarraffootwearhub134@gmail.com,6904637660,Ahmedabad,Gujarat,India,4.0,Active,2023-03-17,
S00805,Vasa Furniture Store,vasafurniturestore204@gmail.com,8892988085,Pune,Maharashtra,India,3.6,Active,2024-12-14,
S00777,Home & Lifestyle Emporium - Butala,homelifestyleemporiu695@gmail.com,8712705877,Indore,Madhya Pradesh,India,2.4,Active,2023-11-05,
S00651,Fashion Retail Pvt Ltd - Sathe,fashionretailpvtltds903@gmail.com,6209579073,Chennai,Tamil Nadu,India,3.5,Active,2019-03-13,
S00672,Hamsini Kitchenware Retail Pvt Ltd,hamsinikitchenwarere834@gmail.com,7190130205,Delhi,Delhi,India,4.1,Active,2019-10-22,
S00691,Brahmbhatt Furniture House,brahmbhattfurnitureh658@gmail.com,9420595565,Bengaluru,Karnataka,India,3.5,Inactive,2025-12-22,
S00619,Kai Toys & Baby Care Retail Pvt Ltd,kaitoysbabycareretai886@gmail.com,8164807279,Mumbai,Maharashtra,India,2.1,Active,2021-02-07,
S00321,Grocery Traders - Mohan,grocerytradersmohan206@gmail.com,8070164510,Mumbai,Maharashtra,India,2.9,Inactive,2023-05-03,
S00113,Raghavan Collection,raghavancollection221@gmail.com,8004797480,Nagpur,Maharashtra,India,4.3,Active,2021-12-19,
S00828,Electronics Hub - Dass,electronicshubdass21@gmail.com,6805120800,Chennai,Tamil Nadu,India,3.0,Active,2025-05-15,
S00153,Aradhana Home & Lifestyle Co.,aradhanahomelifestyl609@gmail.com,7712406596,Bengaluru,Karnataka,India,4.2,Active,2022-10-03,
S00367,Toys & Baby Care House - Bobal,toysbabycarehousebob985@gmail.com,6185694544,Delhi,Delhi,India,4.2,Active,2025-07-20,
S00935,Johal Fashion Exports,johalfashionexports992@gmail.com,7657422319,Jaipur,Rajasthan,India,3.2,Active,2019-06-21,
S00323,Ganga Beauty Emporium,gangabeautyemporium403@gmail.com,7055543840,Coimbatore,Tamil Nadu,India,3.8,Inactive,2019-05-01,
S00482,Gupta Grocery House,guptagroceryhouse881@gmail.com,8641118242,Bengaluru,Karnataka,India,2.5,Active,2020-09-23,
S00916,Lajita Grocery Enterprises,lajitagroceryenterpr210@gmail.com,6900159446,Hyderabad,Telangana,India,2.8,Active,2025-10-08,
S00259,Electronics Store - Ravel,electronicsstorerave498@gmail.com,9594929955,Delhi,Delhi,India,4.6,Active,2022-07-06,
S00406,Deep Toys & Baby Care Co.,deeptoysbabycareco383@gmail.com,6429025725,Kolkata,West Bengal,India,2.4,Active,2023-09-15,
S00175,Singhal Furniture Retail Pvt Ltd,singhalfurniturereta544@gmail.com,6927532697,Kolkata,West Bengal,India,4.3,Active,2020-02-16,
S00277,Iyengar Mart,iyengarmart35@gmail.com,7920530214,Coimbatore,Tamil Nadu,India,4.2,Active,2023-06-07,
S00408,Kitchenware Co. - Dara,kitchenwarecodara99@gmail.com,8202845765,Delhi,Delhi,India,4.5,Active,2021-06-11,
S00653,Footwear Mart - Pandey,footwearmartpandey913@gmail.com,9148026325,Mumbai,Maharashtra,India,3.5,Active,2023-10-31,
S00163,Furniture Co. - Morar,furniturecomorar941@gmail.com,6251341252,Pune,Maharashtra,India,3.6,Active,2020-07-18,
S00862,Yutika Home & Lifestyle Retail Pvt Ltd,yutikahomelifestyler651@gmail.com,8968436453,Indore,Madhya Pradesh,India,3.6,Active,2021-10-27,
S00347,Fashion Enterprises - Bhattacharyya,fashionenterprisesbh24@gmail.com,8353344857,Bengaluru,Karnataka,India,3.9,Active,2020-10-07,
S00190,Yasti Footwear Store,yastifootwearstore316@gmail.com,9411249035,Pune,Maharashtra,India,2.4,Active,2022-12-28,
